number_of_reviews,minimum_nights,room_type_factor,neighbourhood_group_factor
11,3,1,0
2,2,0,1
0,2,0,0
87,3,1,0
13,5,0,2
3,30,1,1
1,7,1,1
42,1,1,1
0,1,0,0
0,1,0,0
6,30,1,1
0,30,1,1
0,1,0,0
4,1,0,1
1,30,1,0
0,1,0,2
3,3,1,0
95,3,1,0
0,1,0,1
7,2,0,0
0,30,0,1
1,2,1,2
4,14,1,0
51,2,1,0
14,4,0,1
5,2,0,2
1,2,1,0
15,2,1,0
1,10,0,0
7,30,1,0
16,2,1,1
0,1,0,2
0,15,0,1
58,2,1,0
1,1,1,1
3,2,0,0
5,30,1,0
0,7,1,1
3,3,0,0
4,2,1,0
0,14,0,1
0,3,0,1
16,3,0,1
27,2,0,0
38,3,1,2
9,4,1,4
7,5,0,1
3,3,1,0
0,30,1,1
5,1,0,0
26,1,0,0
3,31,0,0
127,1,1,0
5,1,0,2
15,7,0,1
28,4,0,2
0,4,0,0
3,3,1,1
19,15,0,1
2,5,1,2
12,3,1,0
0,1,0,1
0,3,1,0
4,2,1,1
0,1,0,1
0,1,1,1
0,1,1,1
19,3,1,4
30,1,1,2
1,7,0,0
0,14,0,1
2,1,1,1
9,5,0,2
5,4,0,0
5,30,1,1
3,5,1,1
47,2,0,4
0,1,0,0
19,2,1,0
9,2,1,1
0,1,0,0
2,6,1,1
45,4,1,0
64,2,1,0
5,2,0,0
47,5,1,0
2,3,0,0
1,15,1,2
3,5,1,1
52,3,1,1
98,3,0,1
3,1,1,0
0,2,1,1
4,7,0,0
0,1,0,4
6,2,0,1
52,1,0,1
15,1,0,0
26,2,0,0
3,4,1,1
1,30,1,2
88,14,0,1
4,2,1,1
0,3,1,1
34,1,0,2
17,1,1,1
25,1,1,1
2,1,0,0
41,2,1,4
14,1,0,2
1,1,1,0
0,5,0,0
186,1,0,1
0,5,0,0
10,1,0,0
0,1,0,1
4,4,1,1
3,1,0,1
2,1,1,1
32,3,1,0
0,3,1,1
2,4,1,0
80,2,0,2
0,30,1,0
17,2,1,0
0,30,1,1
53,2,0,0
0,3,0,0
1,2,1,2
33,1,0,1
23,1,2,0
4,2,1,0
19,2,0,0
0,1,0,0
18,3,1,1
4,1,1,2
1,3,1,0
6,7,0,0
123,2,0,1
0,3,1,0
2,1,0,0
0,1,0,4
34,4,1,0
11,2,1,1
22,1,1,2
22,1,0,0
38,3,1,1
4,3,1,1
9,2,0,1
4,1,0,0
5,3,0,0
6,1,0,0
0,30,1,1
3,1,0,0
35,2,0,2
1,14,0,0
30,2,0,1
0,1,1,1
4,5,1,0
2,30,1,1
4,1,0,0
1,1,0,0
57,1,0,2
5,1,0,1
15,1,1,0
144,1,1,2
48,3,2,1
4,3,0,0
4,3,1,0
